,Review Title,Review,polarity
0,Wonderful,"Takes around 15 minutes to cool the room when the outside temperature is ~35 degree celcius. Not that silent operation. But you will get used to it. Consumed around 8 units of electricity for 12 hour continuous operation with 5 star rated unit. Installation was quick and was done in a day after the product was delivered.The executives who came for installation were not authorised samsung service executives. However they did the job well. Overall a good buy, 100% value for money. A trusted brand.READ MORE",0.26904761904761904
1,Must buy!,Ac is good but installation service is badREAD MORE,0.6
2,Best in the market!,Nice air conditioner with good power efficiency and fast cooling...love you flipkart and thank you Samsung.READ MORE,0.49999999999999994
3,Simply awesome,Samsung best 2021 AC. Performance Excellent also Flipkart Service is really excellent.READ MORE,0.675
4,Worth every penny,Awesome Better than bestREAD MORE,0.6666666666666666
5,Value-for-money,Power consumption is very less I used to get 600 bill during winters now in summer getting 1250 on an average. I am running the ac continuesly from 9:00pm to 4:00 Am and sometimes on afternoon(very few times)READ MORE,-0.016666666666666663
6,Classy product,Got delivered the very next day. Fast delivery by flipkart and next day installation by samsung. Product looks premium and classy. Installation by samsung engineer was good and professional. No installation charges paid except for outdoor unit wall mounting stand. Will test the cooling in peak summers. Best thing is 10 yrs brand warranty on compressor and 5 years on condensor and pcb along with free gas recharge (no other company other than samsung provides this). Condensor is made of alloy a...READ MORE,0.26704545454545453
7,Excellent,Best Product In The Market .! Trust me ! Highly recommended Ac !READ MORE,0.5666666666666667
8,Brilliant,Good productREAD MORE,0.6
9,Very Good,"5 Stars for AC. @ Excellent quality, cooling and design@ 1 star less for the AC came without power cable and wire.@ I had to spent Rs 300 for purchasing new wire.@ SUGGESTION: Please have some flexible policies.As per customer care just for one power cable wire entire AC was to be returned. Is it really not a foolish decision????Wire could be provided based on report of Samsung Installation team or photos of AC. Nobody will wait for 15 days of return period for one wire.I THINK THE SEL...READ MORE",0.1813852813852814
